,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
27,2700,0.09090909090909093,1132.0,8,bing
28,2800,,,8,bing
29,2900,,1996.0,8,bing
30,3000,0.25,1363.0,8,bing
31,3100,,,8,bing
32,3200,,1363.0,8,bing
33,3300,0.3636363636363637,1996.0,8,bing
34,3400,0.0,825.0,8,bing
35,3500,0.08333333333333333,1996.0,8,bing
36,3600,,,8,bing
37,3700,,825.0,8,bing
38,3800,0.07142857142857142,1132.0,8,bing
39,3900,0.0,825.0,8,bing
40,4000,0.16666666666666666,1996.0,8,bing
41,4100,,,8,bing
42,4200,,825.0,8,bing
43,4300,0.2,1996.0,8,bing
44,4400,0.3333333333333333,1536.0,8,bing
45,4500,0.0,1996.0,8,bing
46,4600,0.1,1536.0,8,bing
47,4700,0.2307692307692308,1363.0,8,bing
48,4800,0.4,825.0,8,bing
49,4900,0.1111111111111111,1363.0,8,bing
50,5000,0.18181818181818185,1747.0,8,bing
51,5100,0.2,979.0,8,bing
52,5200,,,8,bing
53,5300,,1363.0,8,bing
54,5400,0.15384615384615385,1996.0,8,bing
55,5500,0.18181818181818185,1132.0,8,bing
56,5600,0.2727272727272727,825.0,8,bing
57,5700,0.2,1996.0,8,bing
58,5800,0.2,1363.0,8,bing
59,5900,0.16666666666666666,1996.0,8,bing
60,6000,,,8,bing
61,6100,,1363.0,8,bing
62,6200,0.16666666666666666,825.0,8,bing
63,6300,0.17647058823529413,1747.0,8,bing
64,6400,,,8,bing
65,6500,,1996.0,8,bing
66,6600,0.09090909090909093,1536.0,8,bing
67,6700,0.08333333333333333,1363.0,8,bing
68,6800,0.08333333333333333,1996.0,8,bing
69,6900,0.3076923076923077,1996.0,8,bing
70,7000,,,8,bing
71,7100,,1564.0,8,bing
72,7200,,,8,bing
73,7300,,979.0,8,bing
74,7400,0.13333333333333333,1996.0,8,bing
75,7500,0.3,1536.0,8,bing
76,7600,0.1,1996.0,8,bing
77,7700,0.08333333333333333,979.0,8,bing
78,7800,,,8,bing
79,7900,,1996.0,8,bing
0,0,,1996.0,8,bing
1,100,0.9333333333333332,1996.0,8,bing
2,200,1.0,1996.0,8,bing
3,300,1.0,1996.0,8,bing
4,400,,,8,bing
5,500,,1996.0,8,bing
6,600,0.8888888888888888,1536.0,8,bing
7,700,0.4444444444444444,1747.0,8,bing
8,800,0.3636363636363637,1996.0,8,bing
9,900,0.9090909090909092,1996.0,8,bing
10,1000,0.9230769230769232,1996.0,8,bing
11,1100,,,8,bing
12,1200,,1996.0,8,bing
13,1300,0.4615384615384616,1996.0,8,bing
14,1400,,,8,bing
15,1500,,1747.0,8,bing
16,1600,0.3888888888888889,1996.0,8,bing
17,1700,0.5,1996.0,8,bing
18,1800,0.375,1747.0,8,bing
19,1900,0.3333333333333333,1747.0,8,bing
20,2000,0.1111111111111111,1363.0,8,bing
21,2100,0.16666666666666666,1747.0,8,bing
22,2200,0.25,1996.0,8,bing
23,2300,0.0,825.0,8,bing
24,2400,,,8,bing
25,2500,,1996.0,8,bing
26,2600,,,8,bing
27,2700,,1996.0,8,bing
28,2800,0.08333333333333333,1363.0,8,bing
29,2900,0.09090909090909093,825.0,8,bing
30,3000,0.2727272727272727,1843.0,8,bing
31,3100,0.0,1536.0,8,bing
32,3200,,,8,bing
33,3300,,1536.0,8,bing
34,3400,0.08333333333333333,1996.0,8,bing
35,3500,0.18181818181818185,1536.0,8,bing
36,3600,,,8,bing
37,3700,,1996.0,8,bing
38,3800,0.1,1363.0,8,bing
39,3900,0.3076923076923077,1747.0,8,bing
40,4000,0.3333333333333333,1747.0,8,bing
41,4100,0.2222222222222222,1996.0,8,bing
42,4200,0.0,825.0,8,bing
43,4300,,,8,bing
44,4400,,1996.0,8,bing
45,4500,0.2307692307692308,1996.0,8,bing
46,4600,0.18181818181818185,1536.0,8,bing
47,4700,,,8,bing
48,4800,,1536.0,8,bing
49,4900,0.2727272727272727,979.0,8,bing
50,5000,0.18181818181818185,1996.0,8,bing
51,5100,0.125,1996.0,8,bing
52,5200,0.42857142857142855,1363.0,8,bing
53,5300,0.1111111111111111,825.0,8,bing
54,5400,0.4,825.0,8,bing
55,5500,0.08333333333333333,1536.0,8,bing
56,5600,0.0,1996.0,8,bing
57,5700,0.2222222222222222,1996.0,8,bing
58,5800,0.1111111111111111,1747.0,8,bing
59,5900,0.2727272727272727,825.0,8,bing
60,6000,0.125,1363.0,8,bing
61,6100,0.2,1996.0,8,bing
62,6200,0.25,1996.0,8,bing
63,6300,0.16666666666666666,1132.0,8,bing
64,6400,0.18181818181818185,1536.0,8,bing
65,6500,0.125,825.0,8,bing
66,6600,0.2,825.0,8,bing
67,6700,,,8,bing
68,6800,,1996.0,8,bing
69,6900,0.16666666666666666,1747.0,8,bing
70,7000,0.18181818181818185,1363.0,8,bing
71,7100,0.2727272727272727,1536.0,8,bing
72,7200,0.1111111111111111,1996.0,8,bing
73,7300,0.0,1843.0,8,bing
74,7400,0.2222222222222222,1747.0,8,bing
75,7500,0.09090909090909093,1996.0,8,bing
76,7600,0.2222222222222222,1536.0,8,bing
77,7700,,,8,bing
78,7800,,1996.0,8,bing
79,7900,,,8,bing
80,8000,,825.0,8,bing
81,8100,0.09090909090909093,1363.0,8,bing
0,0,,1996.0,8,bing
1,100,1.0,1996.0,8,bing
2,200,1.0,1996.0,8,bing
3,300,1.0,1996.0,8,bing
4,400,,,8,bing
5,500,,1996.0,8,bing
6,600,0.9230769230769232,1996.0,8,bing
7,700,0.5555555555555556,1996.0,8,bing
8,800,,,8,bing
9,900,,1996.0,8,bing
10,1000,0.38461538461538464,1996.0,8,bing
11,1100,0.4166666666666667,1996.0,8,bing
12,1200,,,8,bing
13,1300,,,8,bing
14,1400,,,8,bing
15,1500,,1996.0,8,bing
16,1600,0.16666666666666666,1363.0,8,bing
17,1700,,,8,bing
18,1800,,1132.0,8,bing
19,1900,0.3333333333333333,1996.0,8,bing
20,2000,0.18181818181818185,1996.0,8,bing
21,2100,0.18181818181818185,1996.0,8,bing
22,2200,0.18181818181818185,1536.0,8,bing
23,2300,,,8,bing
24,2400,,1996.0,8,bing
25,2500,0.2307692307692308,1996.0,8,bing
26,2600,,,8,bing
27,2700,,1996.0,8,bing
28,2800,0.16666666666666666,1747.0,8,bing
29,2900,0.125,1843.0,8,bing
30,3000,0.0,1747.0,8,bing
31,3100,0.1111111111111111,1996.0,8,bing
32,3200,0.16666666666666666,1843.0,8,bing
33,3300,0.18181818181818185,825.0,8,bing
34,3400,,,8,bing
35,3500,,1996.0,8,bing
36,3600,,,8,bing
37,3700,,825.0,8,bing
38,3800,0.2,1747.0,8,bing
39,3900,0.2,1747.0,8,bing
40,4000,0.16666666666666666,1363.0,8,bing
41,4100,0.0,1996.0,8,bing
42,4200,0.2727272727272727,1843.0,8,bing
43,4300,0.25,1843.0,8,bing
44,4400,0.08333333333333333,825.0,8,bing
45,4500,0.18181818181818185,1843.0,8,bing
46,4600,0.1111111111111111,1996.0,8,bing
47,4700,0.1111111111111111,1996.0,8,bing
48,4800,0.1,1747.0,8,bing
49,4900,0.18181818181818185,1132.0,8,bing
50,5000,0.4545454545454545,1747.0,8,bing
51,5100,0.1111111111111111,1996.0,8,bing
52,5200,0.18181818181818185,1747.0,8,bing
53,5300,0.15384615384615385,1996.0,8,bing
54,5400,0.0,825.0,8,bing
55,5500,0.3333333333333333,1747.0,8,bing
56,5600,,,8,bing
57,5700,,1843.0,8,bing
58,5800,0.0,1843.0,8,bing
59,5900,0.07692307692307693,1996.0,8,bing
60,6000,0.09090909090909093,1536.0,8,bing
61,6100,0.2,825.0,8,bing
62,6200,0.1,1843.0,8,bing
63,6300,,,8,bing
64,6400,,1996.0,8,bing
65,6500,0.18181818181818185,1843.0,8,bing
66,6600,0.2307692307692308,1996.0,8,bing
67,6700,,,8,bing
68,6800,,979.0,8,bing
69,6900,0.09523809523809523,1996.0,8,bing
70,7000,0.3636363636363637,825.0,8,bing
71,7100,0.4444444444444444,1996.0,8,bing
72,7200,,,8,bing
73,7300,,1363.0,8,bing
74,7400,0.0,1536.0,8,bing
75,7500,0.1111111111111111,1996.0,8,bing
76,7600,0.16666666666666666,1363.0,8,bing
77,7700,,,8,bing
78,7800,,1996.0,8,bing
79,7900,,,8,bing
80,8000,,1996.0,8,bing
81,8100,0.16666666666666666,1996.0,8,bing
0,0,,1996.0,8,bing
1,100,0.8888888888888888,1996.0,8,bing
2,200,0.8888888888888888,1996.0,8,bing
3,300,,,8,bing
4,400,,1996.0,8,bing
5,500,1.0,1996.0,8,bing
6,600,0.8666666666666667,1996.0,8,bing
7,700,,,8,bing
8,800,,1996.0,8,bing
9,900,0.8571428571428571,1996.0,8,bing
10,1000,0.4444444444444444,1996.0,8,bing
11,1100,0.5,1747.0,8,bing
12,1200,0.3,1132.0,8,bing
13,1300,0.2727272727272727,979.0,8,bing
14,1400,0.3,1996.0,8,bing
15,1500,,,8,bing
16,1600,,1747.0,8,bing
17,1700,,,8,bing
18,1800,,1487.5,8,bing
19,1900,,,8,bing
20,2000,,1747.0,8,bing
21,2100,0.2,1536.0,8,bing
22,2200,0.16666666666666666,1747.0,8,bing
23,2300,0.1,1843.0,8,bing
24,2400,0.08333333333333333,1536.0,8,bing
25,2500,0.0,1996.0,8,bing
26,2600,,,8,bing
27,2700,,1996.0,8,bing
28,2800,0.0,1996.0,8,bing
29,2900,0.08333333333333333,1363.0,8,bing
30,3000,0.2727272727272727,1996.0,8,bing
31,3100,,,8,bing
32,3200,,1996.0,8,bing
33,3300,0.09090909090909093,1536.0,8,bing
34,3400,0.3333333333333333,825.0,8,bing
35,3500,0.1,825.0,8,bing
36,3600,0.0,1843.0,8,bing
37,3700,,,8,bing
38,3800,,1996.0,8,bing
39,3900,0.1111111111111111,1747.0,8,bing
40,4000,0.5555555555555556,1996.0,8,bing
41,4100,0.3333333333333333,1996.0,8,bing
42,4200,0.16666666666666666,1536.0,8,bing
43,4300,0.3333333333333333,825.0,8,bing
44,4400,0.125,825.0,8,bing
45,4500,0.1,1747.0,8,bing
46,4600,0.3,1996.0,8,bing
47,4700,0.0,1996.0,8,bing
48,4800,0.18181818181818185,1363.0,8,bing
49,4900,0.2,1996.0,8,bing
50,5000,,,8,bing
51,5100,,825.0,8,bing
52,5200,0.14285714285714285,825.0,8,bing
53,5300,0.16666666666666666,1996.0,8,bing
54,5400,0.1,1747.0,8,bing
55,5500,0.0,1996.0,8,bing
56,5600,0.2,1996.0,8,bing
57,5700,0.2222222222222222,1996.0,8,bing
58,5800,,,8,bing
59,5900,,1747.0,8,bing
60,6000,0.16666666666666666,1996.0,8,bing
61,6100,0.08333333333333333,1996.0,8,bing
62,6200,0.18181818181818185,1132.0,8,bing
63,6300,,,8,bing
64,6400,,1996.0,8,bing
65,6500,0.16666666666666666,1536.0,8,bing
66,6600,0.08333333333333333,1996.0,8,bing
67,6700,0.0,1996.0,8,bing
68,6800,,,8,bing
69,6900,,825.0,8,bing
70,7000,0.15789473684210525,1843.0,8,bing
71,7100,0.0,1996.0,8,bing
72,7200,0.2307692307692308,1747.0,8,bing
73,7300,0.08333333333333333,1747.0,8,bing
74,7400,0.0,1843.0,8,bing
75,7500,0.0,1747.0,8,bing
76,7600,,,8,bing
77,7700,,1996.0,8,bing
78,7800,0.18181818181818185,1363.0,8,bing
79,7900,,,8,bing
80,8000,,1996.0,8,bing
81,8100,0.19047619047619047,1132.0,8,bing
0,0,,1996.0,8,bing
1,100,0.9090909090909092,1996.0,8,bing
2,200,,,8,bing
3,300,,1996.0,8,bing
4,400,1.0,1996.0,8,bing
5,500,1.0,1996.0,8,bing
6,600,,,8,bing
7,700,,1996.0,8,bing
8,800,0.8461538461538461,1996.0,8,bing
9,900,0.6,1536.0,8,bing
10,1000,0.3888888888888889,1996.0,8,bing
11,1100,,,8,bing
12,1200,,1996.0,8,bing
13,1300,,,8,bing
14,1400,,1996.0,8,bing
15,1500,0.07692307692307693,1536.0,8,bing
16,1600,0.4,1363.0,8,bing
17,1700,,,8,bing
18,1800,,1536.0,8,bing
19,1900,0.15384615384615385,1996.0,8,bing
20,2000,,,8,bing
21,2100,,1996.0,8,bing
22,2200,0.2608695652173913,1747.0,8,bing
23,2300,0.0,1363.0,8,bing
24,2400,0.18181818181818185,1363.0,8,bing
25,2500,0.1,1996.0,8,bing
26,2600,0.2222222222222222,825.0,8,bing
27,2700,0.16666666666666666,1843.0,8,bing
28,2800,0.2222222222222222,825.0,8,bing
29,2900,0.15384615384615385,1996.0,8,bing
30,3000,,,8,bing
31,3100,,1996.0,8,bing
32,3200,0.10526315789473684,1536.0,8,bing
33,3300,0.2727272727272727,1363.0,8,bing
34,3400,,,8,bing
35,3500,,1766.0,8,bing
36,3600,,,8,bing
37,3700,,825.0,8,bing
38,3800,0.0,1747.0,8,bing
39,3900,0.09090909090909093,1996.0,8,bing
40,4000,0.21428571428571427,1132.0,8,bing
41,4100,,,8,bing
42,4200,,1996.0,8,bing
43,4300,0.14285714285714285,1747.0,8,bing
44,4400,0.2,1536.0,8,bing
45,4500,0.3333333333333333,1843.0,8,bing
46,4600,0.3333333333333333,1996.0,8,bing
47,4700,0.1,1536.0,8,bing
48,4800,0.1,1996.0,8,bing
49,4900,0.2307692307692308,1996.0,8,bing
50,5000,0.09090909090909093,825.0,8,bing
51,5100,,,8,bing
52,5200,,1132.0,8,bing
53,5300,0.26666666666666666,1747.0,8,bing
54,5400,,,8,bing
55,5500,,1747.0,8,bing
56,5600,0.16666666666666666,1747.0,8,bing
57,5700,0.13333333333333333,1439.5,8,bing
58,5800,,,8,bing
59,5900,,1536.0,8,bing
60,6000,0.2727272727272727,1996.0,8,bing
61,6100,0.18181818181818185,1996.0,8,bing
62,6200,0.07142857142857142,825.0,8,bing
63,6300,,,8,bing
64,6400,,1747.0,8,bing
65,6500,0.15384615384615385,1747.0,8,bing
66,6600,0.0,1843.0,8,bing
67,6700,0.15384615384615385,979.0,8,bing
68,6800,0.3636363636363637,1536.0,8,bing
69,6900,0.18181818181818185,1996.0,8,bing
70,7000,,,8,bing
71,7100,,1996.0,8,bing
72,7200,0.0,1996.0,8,bing
73,7300,0.25,1996.0,8,bing
74,7400,0.1111111111111111,1363.0,8,bing
75,7500,0.2,1363.0,8,bing
76,7600,0.09090909090909093,1747.0,8,bing
77,7700,0.16666666666666666,1536.0,8,bing
78,7800,0.0,1996.0,8,bing
79,7900,,,8,bing
80,8000,,825.0,8,bing
81,8100,0.2,1363.0,8,bing
0,0,,1996.0,8,bing
1,100,1.0,1996.0,8,bing
2,200,0.9375,1996.0,8,bing
3,300,,,8,bing
4,400,,1996.0,8,bing
5,500,1.0,1996.0,8,bing
6,600,0.6923076923076923,825.0,8,bing
7,700,,,8,bing
8,800,,1996.0,8,bing
9,900,0.6470588235294118,1996.0,8,bing
10,1000,0.5384615384615384,1536.0,8,bing
11,1100,0.2222222222222222,1747.0,8,bing
12,1200,,,8,bing
13,1300,,1843.0,8,bing
14,1400,0.3076923076923077,1996.0,8,bing
15,1500,0.2727272727272727,1996.0,8,bing
16,1600,0.08333333333333333,1747.0,8,bing
17,1700,,,8,bing
18,1800,,1747.0,8,bing
19,1900,0.19047619047619047,979.0,8,bing
20,2000,0.0,1996.0,8,bing
21,2100,,,8,bing
22,2200,,825.0,8,bing
23,2300,0.16666666666666666,1363.0,8,bing
24,2400,0.2222222222222222,1996.0,8,bing
25,2500,0.14285714285714285,1843.0,8,bing
26,2600,0.0,1996.0,8,bing
27,2700,,,8,bing
28,2800,,1996.0,8,bing
29,2900,0.18181818181818185,1996.0,8,bing
30,3000,0.0,1996.0,8,bing
31,3100,0.4,825.0,8,bing
32,3200,0.0,1843.0,8,bing
33,3300,0.125,1996.0,8,bing
34,3400,0.15384615384615385,1363.0,8,bing
35,3500,0.16666666666666666,1843.0,8,bing
36,3600,0.0,1843.0,8,bing
37,3700,0.3,1536.0,8,bing
38,3800,,,8,bing
39,3900,,1996.0,8,bing
40,4000,0.05555555555555555,1363.0,8,bing
41,4100,,,8,bing
42,4200,,1536.0,8,bing
43,4300,0.3076923076923077,825.0,8,bing
44,4400,0.09090909090909093,1747.0,8,bing
45,4500,0.18181818181818185,1996.0,8,bing
46,4600,0.1,1996.0,8,bing
47,4700,,,8,bing
48,4800,,1996.0,8,bing
49,4900,0.15384615384615385,1747.0,8,bing
50,5000,0.2,1996.0,8,bing
51,5100,0.2222222222222222,1996.0,8,bing
52,5200,0.18181818181818185,1363.0,8,bing
53,5300,0.08333333333333333,1996.0,8,bing
54,5400,0.18181818181818185,1363.0,8,bing
55,5500,,,8,bing
56,5600,,1996.0,8,bing
57,5700,0.2222222222222222,825.0,8,bing
58,5800,0.3333333333333333,1747.0,8,bing
59,5900,0.2727272727272727,1843.0,8,bing
60,6000,0.15384615384615385,1996.0,8,bing
61,6100,0.14285714285714285,1996.0,8,bing
62,6200,,,8,bing
63,6300,,1363.0,8,bing
64,6400,0.13333333333333333,1996.0,8,bing
65,6500,0.16666666666666666,1996.0,8,bing
66,6600,,,8,bing
67,6700,,1536.0,8,bing
68,6800,0.07692307692307693,1996.0,8,bing
69,6900,0.25,1996.0,8,bing
70,7000,,,8,bing
71,7100,,825.0,8,bing
72,7200,0.0,825.0,8,bing
73,7300,0.4,1363.0,8,bing
74,7400,0.2,1996.0,8,bing
75,7500,0.21428571428571427,1132.0,8,bing
76,7600,0.0,1363.0,8,bing
77,7700,0.0,1132.0,8,bing
78,7800,0.3333333333333333,1996.0,8,bing
79,7900,0.0,1747.0,8,bing
0,0,,1996.0,8,bing
1,100,0.9411764705882352,1996.0,8,bing
2,200,,,8,bing
3,300,,1996.0,8,bing
4,400,,,8,bing
5,500,,1996.0,8,bing
6,600,1.0,1996.0,8,bing
7,700,,,8,bing
8,800,,1996.0,8,bing
9,900,0.7894736842105263,1996.0,8,bing
10,1000,0.5,1363.0,8,bing
11,1100,0.2,1536.0,8,bing
12,1200,0.18181818181818185,1996.0,8,bing
13,1300,0.18181818181818185,1996.0,8,bing
14,1400,0.14285714285714285,1996.0,8,bing
15,1500,,,8,bing
16,1600,,1996.0,8,bing
17,1700,0.07692307692307693,1996.0,8,bing
18,1800,0.25,1996.0,8,bing
19,1900,,,8,bing
20,2000,,1996.0,8,bing
21,2100,0.08333333333333333,1996.0,8,bing
22,2200,0.0,1996.0,8,bing
23,2300,0.3,1996.0,8,bing
24,2400,0.07142857142857142,1996.0,8,bing
25,2500,0.15384615384615385,825.0,8,bing
26,2600,,,8,bing
27,2700,,1996.0,8,bing
28,2800,0.08333333333333333,825.0,8,bing
29,2900,,,8,bing
30,3000,,825.0,8,bing
31,3100,0.19047619047619047,1132.0,8,bing
32,3200,0.15384615384615385,825.0,8,bing
33,3300,,,8,bing
34,3400,,1996.0,8,bing
35,3500,0.2857142857142857,1996.0,8,bing
36,3600,0.16666666666666666,1996.0,8,bing
37,3700,0.15384615384615385,1996.0,8,bing
38,3800,,,8,bing
39,3900,,1536.0,8,bing
40,4000,0.09090909090909093,1996.0,8,bing
41,4100,0.17647058823529413,1536.0,8,bing
42,4200,0.2222222222222222,1996.0,8,bing
43,4300,,,8,bing
44,4400,,1996.0,8,bing
45,4500,0.2307692307692308,1747.0,8,bing
46,4600,0.1,825.0,8,bing
47,4700,0.07692307692307693,1536.0,8,bing
48,4800,0.08333333333333333,1747.0,8,bing
49,4900,0.09090909090909093,1996.0,8,bing
50,5000,,,8,bing
51,5100,,1996.0,8,bing
52,5200,0.0,1363.0,8,bing
53,5300,0.15384615384615385,1747.0,8,bing
54,5400,0.0,1996.0,8,bing
55,5500,0.1,825.0,8,bing
56,5600,0.09090909090909093,1747.0,8,bing
57,5700,0.2222222222222222,1747.0,8,bing
58,5800,,,8,bing
59,5900,,1996.0,8,bing
60,6000,0.07692307692307693,1363.0,8,bing
61,6100,0.06666666666666668,1996.0,8,bing
62,6200,,,8,bing
63,6300,,1996.0,8,bing
64,6400,0.38461538461538464,1996.0,8,bing
65,6500,0.1,1996.0,8,bing
66,6600,0.2727272727272727,1843.0,8,bing
67,6700,0.0,1996.0,8,bing
68,6800,0.25,1363.0,8,bing
69,6900,0.3,1843.0,8,bing
70,7000,0.1111111111111111,1996.0,8,bing
71,7100,0.2727272727272727,1747.0,8,bing
72,7200,0.2307692307692308,1843.0,8,bing
73,7300,0.0,825.0,8,bing
74,7400,,,8,bing
75,7500,,1536.0,8,bing
76,7600,0.15384615384615385,1132.0,8,bing
77,7700,0.14285714285714285,1536.0,8,bing
78,7800,,,8,bing
79,7900,,825.0,8,bing
80,8000,0.09090909090909093,1996.0,8,bing
0,0,,1996.0,8,bing
1,100,,,8,bing
2,200,,1996.0,8,bing
3,300,1.0,1996.0,8,bing
4,400,,,8,bing
5,500,,1996.0,8,bing
6,600,1.0,1996.0,8,bing
7,700,,,8,bing
8,800,,1996.0,8,bing
9,900,0.6666666666666666,1996.0,8,bing
10,1000,0.5,1996.0,8,bing
11,1100,,,8,bing
12,1200,,1996.0,8,bing
13,1300,0.4166666666666667,1996.0,8,bing
14,1400,0.26666666666666666,1996.0,8,bing
15,1500,,,8,bing
16,1600,,1747.0,8,bing
17,1700,0.15384615384615385,1996.0,8,bing
18,1800,,,8,bing
19,1900,,825.0,8,bing
20,2000,0.1176470588235294,1996.0,8,bing
21,2100,0.0,1747.0,8,bing
22,2200,0.4,1132.0,8,bing
23,2300,0.1,1843.0,8,bing
24,2400,0.18181818181818185,1363.0,8,bing
25,2500,0.0,1747.0,8,bing
26,2600,0.1,1996.0,8,bing
27,2700,0.16666666666666666,1996.0,8,bing
28,2800,,,8,bing
29,2900,,,8,bing
30,3000,,825.0,8,bing
31,3100,0.25,1996.0,8,bing
32,3200,0.26666666666666666,1536.0,8,bing
33,3300,0.1,1996.0,8,bing
34,3400,0.2222222222222222,1996.0,8,bing
35,3500,0.08333333333333333,825.0,8,bing
36,3600,0.0,1747.0,8,bing
37,3700,0.09090909090909093,1536.0,8,bing
38,3800,0.0,825.0,8,bing
39,3900,,,8,bing
40,4000,,1996.0,8,bing
41,4100,0.17647058823529413,1996.0,8,bing
42,4200,0.0,1363.0,8,bing
43,4300,0.2727272727272727,1996.0,8,bing
44,4400,0.1111111111111111,1996.0,8,bing
45,4500,0.1111111111111111,1363.0,8,bing
46,4600,0.16666666666666666,825.0,8,bing
47,4700,,,8,bing
48,4800,,1996.0,8,bing
49,4900,0.15384615384615385,1996.0,8,bing
50,5000,0.1111111111111111,825.0,8,bing
51,5100,0.18181818181818185,1747.0,8,bing
52,5200,0.16666666666666666,1996.0,8,bing
53,5300,0.0,1363.0,8,bing
54,5400,0.1,1996.0,8,bing
55,5500,0.2727272727272727,825.0,8,bing
56,5600,0.07692307692307693,825.0,8,bing
57,5700,0.1,1747.0,8,bing
58,5800,,,8,bing
59,5900,,1363.0,8,bing
60,6000,0.09090909090909093,1747.0,8,bing
61,6100,0.3,1996.0,8,bing
62,6200,0.09090909090909093,1536.0,8,bing
63,6300,0.16666666666666666,825.0,8,bing
64,6400,0.18181818181818185,1747.0,8,bing
65,6500,,,8,bing
66,6600,,1363.0,8,bing
67,6700,0.21428571428571427,1536.0,8,bing
68,6800,0.0,1996.0,8,bing
69,6900,0.3,1363.0,8,bing
70,7000,0.2307692307692308,1996.0,8,bing
71,7100,,,8,bing
72,7200,,1996.0,8,bing
73,7300,0.0,1996.0,8,bing
74,7400,0.3333333333333333,1536.0,8,bing
75,7500,,,8,bing
76,7600,,1843.0,8,bing
77,7700,0.09090909090909093,1363.0,8,bing
78,7800,0.25,979.0,8,bing
79,7900,0.2,1996.0,8,bing
80,8000,0.25,1363.0,8,bing
0,0,,1996.0,8,bing
1,100,0.9230769230769232,1996.0,8,bing
2,200,0.9,1996.0,8,bing
3,300,1.0,1996.0,8,bing
4,400,,,8,bing
5,500,,1996.0,8,bing
6,600,0.9090909090909092,1996.0,8,bing
7,700,0.7272727272727273,1996.0,8,bing
8,800,0.6,1996.0,8,bing
9,900,,,8,bing
10,1000,,1747.0,8,bing
11,1100,0.2727272727272727,1747.0,8,bing
12,1200,0.3636363636363637,1996.0,8,bing
13,1300,0.0,1747.0,8,bing
14,1400,0.25,1363.0,8,bing
15,1500,,,8,bing
16,1600,,1996.0,8,bing
17,1700,0.1,1132.0,8,bing
18,1800,0.3333333333333333,1996.0,8,bing
19,1900,,,8,bing
20,2000,,1536.0,8,bing
21,2100,0.16666666666666666,979.0,8,bing
22,2200,0.15384615384615385,1996.0,8,bing
23,2300,0.0,1132.0,8,bing
24,2400,0.25,1363.0,8,bing
25,2500,0.09090909090909093,1747.0,8,bing
26,2600,0.3,1747.0,8,bing
27,2700,0.16666666666666666,1996.0,8,bing
28,2800,,,8,bing
29,2900,,1843.0,8,bing
30,3000,0.26666666666666666,1363.0,8,bing
31,3100,,,8,bing
32,3200,,1679.5,8,bing
33,3300,0.1111111111111111,1996.0,8,bing
34,3400,,,8,bing
35,3500,,1536.0,8,bing
36,3600,0.13333333333333333,1747.0,8,bing
37,3700,0.1,1996.0,8,bing
38,3800,0.1111111111111111,1996.0,8,bing
39,3900,0.2727272727272727,1747.0,8,bing
40,4000,,,8,bing
41,4100,,979.0,8,bing
42,4200,0.09090909090909093,1747.0,8,bing
43,4300,0.4444444444444444,1747.0,8,bing
44,4400,0.0,979.0,8,bing
45,4500,0.18181818181818185,825.0,8,bing
46,4600,0.08333333333333333,1363.0,8,bing
47,4700,0.2727272727272727,1843.0,8,bing
48,4800,,,8,bing
49,4900,,1996.0,8,bing
50,5000,0.3,1843.0,8,bing
51,5100,0.07692307692307693,1132.0,8,bing
52,5200,0.2222222222222222,825.0,8,bing
53,5300,0.2,1996.0,8,bing
54,5400,0.2,1363.0,8,bing
55,5500,0.1,1996.0,8,bing
56,5600,,,8,bing
57,5700,,1996.0,8,bing
58,5800,0.16666666666666666,979.0,8,bing
59,5900,,,8,bing
60,6000,,1996.0,8,bing
61,6100,0.25,1747.0,8,bing
62,6200,0.2,1843.0,8,bing
63,6300,,,8,bing
64,6400,,1996.0,8,bing
65,6500,0.2857142857142857,825.0,8,bing
66,6600,0.0,1536.0,8,bing
67,6700,0.2,1843.0,8,bing
68,6800,0.0,1996.0,8,bing
69,6900,0.1,1363.0,8,bing
70,7000,,,8,bing
71,7100,,825.0,8,bing
72,7200,0.05882352941176471,1996.0,8,bing
73,7300,0.09090909090909093,1996.0,8,bing
74,7400,0.16666666666666666,1996.0,8,bing
75,7500,0.0,1843.0,8,bing
76,7600,0.09090909090909093,825.0,8,bing
77,7700,0.3076923076923077,1996.0,8,bing
78,7800,,,8,bing
79,7900,,1747.0,8,bing
80,8000,0.08333333333333333,1363.0,8,bing
0,0,,1996.0,8,bing
1,100,,,8,bing
2,200,,1996.0,8,bing
3,300,1.0,1996.0,8,bing
4,400,1.0,1996.0,8,bing
5,500,,,8,bing
6,600,,1996.0,8,bing
7,700,0.5833333333333334,1363.0,8,bing
8,800,0.6,1536.0,8,bing
9,900,0.7142857142857143,1996.0,8,bing
10,1000,,,8,bing
11,1100,,1996.0,8,bing
12,1200,0.4166666666666667,1996.0,8,bing
13,1300,0.4,1996.0,8,bing
14,1400,0.4,1747.0,8,bing
15,1500,0.3333333333333333,1996.0,8,bing
16,1600,0.09090909090909093,1996.0,8,bing
17,1700,0.1111111111111111,1996.0,8,bing
18,1800,0.14285714285714285,1996.0,8,bing
19,1900,0.2,1843.0,8,bing
20,2000,,,8,bing
21,2100,,1747.0,8,bing
22,2200,0.14285714285714285,1747.0,8,bing
23,2300,0.3333333333333333,1996.0,8,bing
24,2400,,,8,bing
25,2500,,,8,bing
26,2600,,,8,bing
27,2700,,,8,bing
28,2800,,1996.0,8,bing
29,2900,,,8,bing
30,3000,,825.0,8,bing
31,3100,0.08333333333333333,1996.0,8,bing
